state,county,candidate,party,votes,won,total_votes,fips
Delaware,Kent,Joe Biden,DEM,44552,TRUE,87025,10001
Delaware,Kent,Donald Trump,REP,41009,FALSE,87025,10001
Delaware,Kent,Jo Jorgensen,LIB,1044,FALSE,87025,10001
Delaware,Kent,Howie Hawkins,GRN,420,FALSE,87025,10001
Delaware,New Castle,Joe Biden,DEM,195034,TRUE,287633,10003
Delaware,New Castle,Donald Trump,REP,88364,FALSE,287633,10003
Delaware,New Castle,Jo Jorgensen,LIB,2953,FALSE,287633,10003
Delaware,New Castle,Howie Hawkins,GRN,1282,FALSE,287633,10003
Delaware,Sussex,Donald Trump,REP,71230,TRUE,129352,10005
Delaware,Sussex,Joe Biden,DEM,56682,FALSE,129352,10005
Delaware,Sussex,Jo Jorgensen,LIB,1003,FALSE,129352,10005
Delaware,Sussex,Howie Hawkins,GRN,437,FALSE,129352,10005
District of Columbia,District of Columbia,Joe Biden,DEM,39041,TRUE,41681,11001
District of Columbia,District of Columbia,Joe Biden,DEM,39041,TRUE,41681,11001
District of Columbia,District of Columbia,Donald Trump,REP,1725,FALSE,41681,11001
District of Columbia,District of Columbia,Donald Trump,REP,1725,FALSE,41681,11001
District of Columbia,District of Columbia,Write-ins,WRI,298,FALSE,41681,11001
District of Columbia,District of Columbia,Write-ins,WRI,298,FALSE,41681,11001
District of Columbia,District of Columbia,Howie Hawkins,GRN,259,FALSE,41681,11001
District of Columbia,District of Columbia,Howie Hawkins,GRN,259,FALSE,41681,11001
District of Columbia,District of Columbia,Jo Jorgensen,LIB,204,FALSE,41681,11001
District of Columbia,District of Columbia,Jo Jorgensen,LIB,204,FALSE,41681,11001
District of Columbia,District of Columbia,Gloria La Riva,PSL,108,FALSE,41681,11001
District of Columbia,District of Columbia,Gloria La Riva,PSL,108,FALSE,41681,11001
District of Columbia,District of Columbia,Brock Pierce,IND,46,FALSE,41681,11001
District of Columbia,District of Columbia,Brock Pierce,IND,46,FALSE,41681,11001
Florida,Alachua,Joe Biden,DEM,89704,TRUE,142604,12001
Florida,Alachua,Donald Trump,REP,50972,FALSE,142604,12001
Florida,Alachua,Jo Jorgensen,LIB,1390,FALSE,142604,12001
Florida,Alachua,Howie Hawkins,GRN,302,FALSE,142604,12001
Florida,Alachua,Gloria La Riva,PSL,94,FALSE,142604,12001
Florida,Alachua,Rocky De La Fuente,ALI,70,FALSE,142604,12001
Florida,Alachua,Don Blankenship,CST,52,FALSE,142604,12001
Florida,Alachua,Write-ins,WRI,20,FALSE,142604,12001
Florida,Baker,Donald Trump,REP,11911,TRUE,14059,12003
Florida,Baker,Joe Biden,DEM,2037,FALSE,14059,12003
Florida,Baker,Jo Jorgensen,LIB,93,FALSE,14059,12003
Florida,Baker,Howie Hawkins,GRN,10,FALSE,14059,12003
Florida,Baker,Rocky De La Fuente,ALI,4,FALSE,14059,12003
Florida,Baker,Gloria La Riva,PSL,3,FALSE,14059,12003
Florida,Baker,Don Blankenship,CST,1,FALSE,14059,12003
Florida,Baker,Write-ins,WRI,0,FALSE,14059,12003
Florida,Bay,Donald Trump,REP,66097,TRUE,93024,12005
Florida,Bay,Joe Biden,DEM,25614,FALSE,93024,12005
Florida,Bay,Jo Jorgensen,LIB,1004,FALSE,93024,12005
Florida,Bay,Howie Hawkins,GRN,142,FALSE,93024,12005
Florida,Bay,Rocky De La Fuente,ALI,54,FALSE,93024,12005
Florida,Bay,Don Blankenship,CST,52,FALSE,93024,12005
Florida,Bay,Gloria La Riva,PSL,45,FALSE,93024,12005
Florida,Bay,Write-ins,WRI,16,FALSE,93024,12005
Florida,Bradford,Donald Trump,REP,10334,TRUE,13632,12007
Florida,Bradford,Joe Biden,DEM,3160,FALSE,13632,12007
Florida,Bradford,Jo Jorgensen,LIB,110,FALSE,13632,12007
Florida,Bradford,Howie Hawkins,GRN,11,FALSE,13632,12007
Florida,Bradford,Rocky De La Fuente,ALI,7,FALSE,13632,12007
Florida,Bradford,Don Blankenship,CST,6,FALSE,13632,12007
Florida,Bradford,Gloria La Riva,PSL,3,FALSE,13632,12007
Florida,Bradford,Write-ins,WRI,1,FALSE,13632,12007
Florida,Brevard,Donald Trump,REP,207883,TRUE,360764,12009
Florida,Brevard,Joe Biden,DEM,148549,FALSE,360764,12009
Florida,Brevard,Jo Jorgensen,LIB,3178,FALSE,360764,12009
Florida,Brevard,Howie Hawkins,GRN,553,FALSE,360764,12009
Florida,Brevard,Rocky De La Fuente,ALI,222,FALSE,360764,12009
Florida,Brevard,Don Blankenship,CST,171,FALSE,360764,12009
Florida,Brevard,Gloria La Riva,PSL,164,FALSE,360764,12009
Florida,Brevard,Write-ins,WRI,44,FALSE,360764,12009
Florida,Broward,Joe Biden,DEM,618752,TRUE,957672,12011
Florida,Broward,Donald Trump,REP,333409,FALSE,957672,12011
Florida,Broward,Jo Jorgensen,LIB,3114,FALSE,957672,12011
Florida,Broward,Howie Hawkins,GRN,1253,FALSE,957672,12011
Florida,Broward,Rocky De La Fuente,ALI,426,FALSE,957672,12011
Florida,Broward,Gloria La Riva,PSL,417,FALSE,957672,12011
Florida,Broward,Don Blankenship,CST,238,FALSE,957672,12011
Florida,Broward,Write-ins,WRI,63,FALSE,957672,12011
Florida,Calhoun,Donald Trump,REP,5274,TRUE,6526,12013
Florida,Calhoun,Joe Biden,DEM,1209,FALSE,6526,12013
Florida,Calhoun,Jo Jorgensen,LIB,29,FALSE,6526,12013
Florida,Calhoun,Rocky De La Fuente,ALI,4,FALSE,6526,12013
Florida,Calhoun,Howie Hawkins,GRN,4,FALSE,6526,12013
Florida,Calhoun,Gloria La Riva,PSL,4,FALSE,6526,12013
Florida,Calhoun,Don Blankenship,CST,2,FALSE,6526,12013
Florida,Calhoun,Write-ins,WRI,0,FALSE,6526,12013
Florida,Charlotte,Donald Trump,REP,73243,TRUE,116340,12015
Florida,Charlotte,Joe Biden,DEM,42273,FALSE,116340,12015
Florida,Charlotte,Jo Jorgensen,LIB,565,FALSE,116340,12015
Florida,Charlotte,Howie Hawkins,GRN,129,FALSE,116340,12015
Florida,Charlotte,Rocky De La Fuente,ALI,49,FALSE,116340,12015
Florida,Charlotte,Don Blankenship,CST,45,FALSE,116340,12015
Florida,Charlotte,Gloria La Riva,PSL,32,FALSE,116340,12015
Florida,Charlotte,Write-ins,WRI,4,FALSE,116340,12015
Florida,Citrus,Donald Trump,REP,65352,TRUE,93208,12017
Florida,Citrus,Joe Biden,DEM,27092,FALSE,93208,12017
Florida,Citrus,Jo Jorgensen,LIB,548,FALSE,93208,12017
Florida,Citrus,Howie Hawkins,GRN,86,FALSE,93208,12017
Florida,Citrus,Don Blankenship,CST,49,FALSE,93208,12017
Florida,Citrus,Rocky De La Fuente,ALI,42,FALSE,93208,12017
Florida,Citrus,Gloria La Riva,PSL,30,FALSE,93208,12017
Florida,Citrus,Write-ins,WRI,9,FALSE,93208,12017
Florida,Clay,Donald Trump,REP,84480,TRUE,124405,12019
Florida,Clay,Joe Biden,DEM,38317,FALSE,124405,12019
Florida,Clay,Jo Jorgensen,LIB,1286,FALSE,124405,12019
Florida,Clay,Howie Hawkins,GRN,153,FALSE,124405,12019
Florida,Clay,Don Blankenship,CST,57,FALSE,124405,12019
Florida,Clay,Gloria La Riva,PSL,55,FALSE,124405,12019
Florida,Clay,Rocky De La Fuente,ALI,45,FALSE,124405,12019
Florida,Clay,Write-ins,WRI,12,FALSE,124405,12019
Florida,Collier,Donald Trump,REP,128950,TRUE,207818,12021
Florida,Collier,Joe Biden,DEM,77621,FALSE,207818,12021
Florida,Collier,Jo Jorgensen,LIB,889,FALSE,207818,12021
Florida,Collier,Howie Hawkins,GRN,186,FALSE,207818,12021
Florida,Collier,Rocky De La Fuente,ALI,64,FALSE,207818,12021
Florida,Collier,Gloria La Riva,PSL,50,FALSE,207818,12021
Florida,Collier,Don Blankenship,CST,39,FALSE,207818,12021
Florida,Collier,Write-ins,WRI,19,FALSE,207818,12021
Florida,Columbia,Donald Trump,REP,23836,TRUE,33042,12023
Florida,Columbia,Joe Biden,DEM,8914,FALSE,33042,12023
Florida,Columbia,Jo Jorgensen,LIB,224,FALSE,33042,12023
Florida,Columbia,Howie Hawkins,GRN,28,FALSE,33042,12023
Florida,Columbia,Gloria La Riva,PSL,20,FALSE,33042,12023
Florida,Columbia,Rocky De La Fuente,ALI,12,FALSE,33042,12023
Florida,Columbia,Don Blankenship,CST,8,FALSE,33042,12023
Florida,Columbia,Write-ins,WRI,0,FALSE,33042,12023
Florida,DeSoto,Donald Trump,REP,8313,TRUE,12659,12027
Florida,DeSoto,Joe Biden,DEM,4259,FALSE,12659,12027
Florida,DeSoto,Jo Jorgensen,LIB,52,FALSE,12659,12027
Florida,DeSoto,Rocky De La Fuente,ALI,12,FALSE,12659,12027
Florida,DeSoto,Gloria La Riva,PSL,11,FALSE,12659,12027
Florida,DeSoto,Howie Hawkins,GRN,8,FALSE,12659,12027
Florida,DeSoto,Don Blankenship,CST,4,FALSE,12659,12027
Florida,DeSoto,Write-ins,WRI,0,FALSE,12659,12027
Florida,Dixie,Donald Trump,REP,6759,TRUE,8167,12029
Florida,Dixie,Joe Biden,DEM,1365,FALSE,8167,12029
Florida,Dixie,Jo Jorgensen,LIB,27,FALSE,8167,12029
Florida,Dixie,Rocky De La Fuente,ALI,5,FALSE,8167,12029
Florida,Dixie,Howie Hawkins,GRN,5,FALSE,8167,12029
Florida,Dixie,Don Blankenship,CST,4,FALSE,8167,12029
Florida,Dixie,Gloria La Riva,PSL,2,FALSE,8167,12029
Florida,Duval,Joe Biden,DEM,252556,TRUE,492820,12031
Florida,Duval,Donald Trump,REP,233762,FALSE,492820,12031
Florida,Duval,Jo Jorgensen,LIB,4788,FALSE,492820,12031
Florida,Duval,Howie Hawkins,GRN,772,FALSE,492820,12031
Florida,Duval,Gloria La Riva,PSL,328,FALSE,492820,12031
Florida,Duval,Rocky De La Fuente,ALI,319,FALSE,492820,12031
Florida,Duval,Don Blankenship,CST,218,FALSE,492820,12031
Florida,Duval,Write-ins,WRI,77,FALSE,492820,12031
Florida,Escambia,Donald Trump,REP,96674,TRUE,170372,12033
Florida,Escambia,Joe Biden,DEM,70929,FALSE,170372,12033
Florida,Escambia,Jo Jorgensen,LIB,2146,FALSE,170372,12033
Florida,Escambia,Howie Hawkins,GRN,256,FALSE,170372,12033
Florida,Escambia,Gloria La Riva,PSL,137,FALSE,170372,12033
Florida,Escambia,Rocky De La Fuente,ALI,105,FALSE,170372,12033
Florida,Escambia,Don Blankenship,CST,92,FALSE,170372,12033
Florida,Escambia,Write-ins,WRI,33,FALSE,170372,12033
Florida,Flagler,Donald Trump,REP,43043,TRUE,71716,12035
Florida,Flagler,Joe Biden,DEM,28161,FALSE,71716,12035
Florida,Flagler,Jo Jorgensen,LIB,359,FALSE,71716,12035
Florida,Flagler,Howie Hawkins,GRN,69,FALSE,71716,12035
Florida,Flagler,Rocky De La Fuente,ALI,30,FALSE,71716,12035
Florida,Flagler,Gloria La Riva,PSL,29,FALSE,71716,12035
Florida,Flagler,Don Blankenship,CST,20,FALSE,71716,12035
Florida,Flagler,Write-ins,WRI,5,FALSE,71716,12035
Florida,Franklin,Donald Trump,REP,4675,TRUE,6849,12037
Florida,Franklin,Joe Biden,DEM,2120,FALSE,6849,12037
Florida,Franklin,Jo Jorgensen,LIB,27,FALSE,6849,12037
Florida,Franklin,Howie Hawkins,GRN,12,FALSE,6849,12037
Florida,Franklin,Gloria La Riva,PSL,8,FALSE,6849,12037
Florida,Franklin,Rocky De La Fuente,ALI,4,FALSE,6849,12037
Florida,Franklin,Don Blankenship,CST,3,FALSE,6849,12037
Florida,Gadsden,Joe Biden,DEM,16153,TRUE,23762,12039
Florida,Gadsden,Donald Trump,REP,7465,FALSE,23762,12039
Florida,Gadsden,Jo Jorgensen,LIB,96,FALSE,23762,12039
Florida,Gadsden,Howie Hawkins,GRN,21,FALSE,23762,12039
Florida,Gadsden,Gloria La Riva,PSL,10,FALSE,23762,12039
Florida,Gadsden,Don Blankenship,CST,9,FALSE,23762,12039
Florida,Gadsden,Rocky De La Fuente,ALI,8,FALSE,23762,12039
Florida,Gilchrist,Donald Trump,REP,7895,TRUE,9685,12041
Florida,Gilchrist,Joe Biden,DEM,1700,FALSE,9685,12041
Florida,Gilchrist,Jo Jorgensen,LIB,61,FALSE,9685,12041
Florida,Gilchrist,Howie Hawkins,GRN,13,FALSE,9685,12041
Florida,Gilchrist,Rocky De La Fuente,ALI,6,FALSE,9685,12041
Florida,Gilchrist,Don Blankenship,CST,5,FALSE,9685,12041
Florida,Gilchrist,Write-ins,WRI,3,FALSE,9685,12041
Florida,Gilchrist,Gloria La Riva,PSL,2,FALSE,9685,12041
Florida,Glades,Donald Trump,REP,3782,TRUE,5193,12043
Florida,Glades,Joe Biden,DEM,1385,FALSE,5193,12043
Florida,Glades,Jo Jorgensen,LIB,21,FALSE,5193,12043
Florida,Glades,Howie Hawkins,GRN,4,FALSE,5193,12043
Florida,Glades,Gloria La Riva,PSL,1,FALSE,5193,12043
Florida,Glades,Don Blankenship,CST,0,FALSE,5193,12043
Florida,Glades,Rocky De La Fuente,ALI,0,FALSE,5193,12043
Florida,Gulf,Donald Trump,REP,6113,TRUE,8163,12045
Florida,Gulf,Joe Biden,DEM,1985,FALSE,8163,12045
Florida,Gulf,Jo Jorgensen,LIB,48,FALSE,8163,12045
Florida,Gulf,Don Blankenship,CST,6,FALSE,8163,12045
Florida,Gulf,Rocky De La Fuente,ALI,6,FALSE,8163,12045
Florida,Gulf,Howie Hawkins,GRN,5,FALSE,8163,12045
Florida,Gulf,Gloria La Riva,PSL,0,FALSE,8163,12045
Florida,Gulf,Write-ins,WRI,0,FALSE,8163,12045
Florida,Hamilton,Donald Trump,REP,3815,TRUE,5830,12047
Florida,Hamilton,Joe Biden,DEM,1963,FALSE,5830,12047
Florida,Hamilton,Jo Jorgensen,LIB,33,FALSE,5830,12047
Florida,Hamilton,Howie Hawkins,GRN,8,FALSE,5830,12047
Florida,Hamilton,Rocky De La Fuente,ALI,6,FALSE,5830,12047
Florida,Hamilton,Don Blankenship,CST,2,FALSE,5830,12047
Florida,Hamilton,Gloria La Riva,PSL,2,FALSE,5830,12047
Florida,Hamilton,Write-ins,WRI,1,FALSE,5830,12047
Florida,Hardee,Donald Trump,REP,6122,TRUE,8485,12049
Florida,Hardee,Joe Biden,DEM,2298,FALSE,8485,12049
Florida,Hardee,Jo Jorgensen,LIB,40,FALSE,8485,12049
Florida,Hardee,Rocky De La Fuente,ALI,10,FALSE,8485,12049
Florida,Hardee,Howie Hawkins,GRN,8,FALSE,8485,12049
Florida,Hardee,Gloria La Riva,PSL,6,FALSE,8485,12049
Florida,Hardee,Don Blankenship,CST,1,FALSE,8485,12049
Florida,Hendry,Donald Trump,REP,7906,TRUE,12940,12051
Florida,Hendry,Joe Biden,DEM,4929,FALSE,12940,12051
Florida,Hendry,Jo Jorgensen,LIB,65,FALSE,12940,12051
Florida,Hendry,Howie Hawkins,GRN,13,FALSE,12940,12051
Florida,Hendry,Rocky De La Fuente,ALI,11,FALSE,12940,12051
Florida,Hendry,Gloria La Riva,PSL,8,FALSE,12940,12051
Florida,Hendry,Don Blankenship,CST,7,FALSE,12940,12051
Florida,Hendry,Write-ins,WRI,1,FALSE,12940,12051
Florida,Hernando,Donald Trump,REP,70412,TRUE,108922,12053
Florida,Hernando,Joe Biden,DEM,37519,FALSE,108922,12053
Florida,Hernando,Jo Jorgensen,LIB,686,FALSE,108922,12053
Florida,Hernando,Howie Hawkins,GRN,151,FALSE,108922,12053
Florida,Hernando,Rocky De La Fuente,ALI,62,FALSE,108922,12053
Florida,Hernando,Gloria La Riva,PSL,44,FALSE,108922,12053
Florida,Hernando,Don Blankenship,CST,40,FALSE,108922,12053
Florida,Hernando,Write-ins,WRI,8,FALSE,108922,12053
Florida,Highlands,Donald Trump,REP,34873,TRUE,52170,12055
Florida,Highlands,Joe Biden,DEM,16938,FALSE,52170,12055
Florida,Highlands,Jo Jorgensen,LIB,223,FALSE,52170,12055
Florida,Highlands,Howie Hawkins,GRN,53,FALSE,52170,12055
Florida,Highlands,Don Blankenship,CST,28,FALSE,52170,12055
Florida,Highlands,Rocky De La Fuente,ALI,28,FALSE,52170,12055
Florida,Highlands,Gloria La Riva,PSL,24,FALSE,52170,12055
Florida,Highlands,Write-ins,WRI,3,FALSE,52170,12055
Florida,Hillsborough,Joe Biden,DEM,376367,TRUE,712063,12057
Florida,Hillsborough,Donald Trump,REP,327398,FALSE,712063,12057
Florida,Hillsborough,Jo Jorgensen,LIB,5665,FALSE,712063,12057
Florida,Hillsborough,Howie Hawkins,GRN,1187,FALSE,712063,12057
Florida,Hillsborough,Rocky De La Fuente,ALI,574,FALSE,712063,12057
Florida,Hillsborough,Gloria La Riva,PSL,529,FALSE,712063,12057
Florida,Hillsborough,Don Blankenship,CST,270,FALSE,712063,12057
Florida,Hillsborough,Write-ins,WRI,73,FALSE,712063,12057
Florida,Holmes,Donald Trump,REP,8080,TRUE,9068,12059
Florida,Holmes,Joe Biden,DEM,924,FALSE,9068,12059
Florida,Holmes,Jo Jorgensen,LIB,48,FALSE,9068,12059
Florida,Holmes,Howie Hawkins,GRN,9,FALSE,9068,12059
Florida,Holmes,Don Blankenship,CST,4,FALSE,9068,12059
Florida,Holmes,Rocky De La Fuente,ALI,2,FALSE,9068,12059
Florida,Holmes,Gloria La Riva,PSL,1,FALSE,9068,12059
Florida,Indian River,Donald Trump,REP,58872,TRUE,97484,12061
Florida,Indian River,Joe Biden,DEM,37844,FALSE,97484,12061
Florida,Indian River,Jo Jorgensen,LIB,534,FALSE,97484,12061
Florida,Indian River,Howie Hawkins,GRN,117,FALSE,97484,12061
Florida,Indian River,Rocky De La Fuente,ALI,43,FALSE,97484,12061
Florida,Indian River,Don Blankenship,CST,38,FALSE,97484,12061
Florida,Indian River,Gloria La Riva,PSL,33,FALSE,97484,12061
Florida,Indian River,Write-ins,WRI,3,FALSE,97484,12061
Florida,Jackson,Donald Trump,REP,15488,TRUE,22419,12063
Florida,Jackson,Joe Biden,DEM,6766,FALSE,22419,12063
Florida,Jackson,Jo Jorgensen,LIB,116,FALSE,22419,12063
Florida,Jackson,Rocky De La Fuente,ALI,13,FALSE,22419,12063
Florida,Jackson,Howie Hawkins,GRN,13,FALSE,22419,12063
Florida,Jackson,Gloria La Riva,PSL,13,FALSE,22419,12063
Florida,Jackson,Don Blankenship,CST,5,FALSE,22419,12063
Florida,Jackson,Write-ins,WRI,5,FALSE,22419,12063
Florida,Jefferson,Donald Trump,REP,4479,TRUE,8451,12065
Florida,Jefferson,Joe Biden,DEM,3897,FALSE,8451,12065
Florida,Jefferson,Jo Jorgensen,LIB,46,FALSE,8451,12065
Florida,Jefferson,Howie Hawkins,GRN,13,FALSE,8451,12065
Florida,Jefferson,Don Blankenship,CST,5,FALSE,8451,12065
Florida,Jefferson,Rocky De La Fuente,ALI,4,FALSE,8451,12065
Florida,Jefferson,Gloria La Riva,PSL,4,FALSE,8451,12065
Florida,Jefferson,Write-ins,WRI,3,FALSE,8451,12065
Florida,Lafayette,Donald Trump,REP,3128,TRUE,3658,12067
Florida,Lafayette,Joe Biden,DEM,510,FALSE,3658,12067
Florida,Lafayette,Jo Jorgensen,LIB,14,FALSE,3658,12067
Florida,Lafayette,Don Blankenship,CST,2,FALSE,3658,12067
Florida,Lafayette,Howie Hawkins,GRN,2,FALSE,3658,12067
Florida,Lafayette,Rocky De La Fuente,ALI,1,FALSE,3658,12067
Florida,Lafayette,Gloria La Riva,PSL,1,FALSE,3658,12067
Florida,Lake,Donald Trump,REP,125859,TRUE,211314,12069
Florida,Lake,Joe Biden,DEM,83505,FALSE,211314,12069
Florida,Lake,Jo Jorgensen,LIB,1385,FALSE,211314,12069
Florida,Lake,Howie Hawkins,GRN,254,FALSE,211314,12069
Florida,Lake,Rocky De La Fuente,ALI,120,FALSE,211314,12069
Florida,Lake,Gloria La Riva,PSL,96,FALSE,211314,12069
Florida,Lake,Don Blankenship,CST,79,FALSE,211314,12069
Florida,Lake,Write-ins,WRI,16,FALSE,211314,12069
Florida,Lee,Donald Trump,REP,233247,TRUE,393899,12071
Florida,Lee,Joe Biden,DEM,157695,FALSE,393899,12071
Florida,Lee,Jo Jorgensen,LIB,2016,FALSE,393899,12071
Florida,Lee,Howie Hawkins,GRN,440,FALSE,393899,12071
Florida,Lee,Rocky De La Fuente,ALI,187,FALSE,393899,12071
Florida,Lee,Gloria La Riva,PSL,176,FALSE,393899,12071
Florida,Lee,Don Blankenship,CST,121,FALSE,393899,12071
Florida,Lee,Write-ins,WRI,17,FALSE,393899,12071
Florida,Leon,Joe Biden,DEM,103517,TRUE,162929,12073
Florida,Leon,Donald Trump,REP,57453,FALSE,162929,12073
Florida,Leon,Jo Jorgensen,LIB,1344,FALSE,162929,12073
Florida,Leon,Howie Hawkins,GRN,271,FALSE,162929,12073
Florida,Leon,Gloria La Riva,PSL,122,FALSE,162929,12073
Florida,Leon,Rocky De La Fuente,ALI,98,FALSE,162929,12073
Florida,Leon,Don Blankenship,CST,71,FALSE,162929,12073
Florida,Leon,Write-ins,WRI,53,FALSE,162929,12073
Florida,Levy,Donald Trump,REP,16749,TRUE,23145,12075
Florida,Levy,Joe Biden,DEM,6205,FALSE,23145,12075
Florida,Levy,Jo Jorgensen,LIB,131,FALSE,23145,12075
Florida,Levy,Howie Hawkins,GRN,25,FALSE,23145,12075
Florida,Levy,Rocky De La Fuente,ALI,14,FALSE,23145,12075
